benchmark_id,detector,source_proton_MeV,shield_thickness_cm,off_axis_cm,energy_lower_MeV,energy_upper_MeV,lethargy_flux_n_cm2_per_uC,error_percent,geometry_id,source_normalization_id,additional_iron_collimator_cm,peak_source_intensity_x1e9_n_sr_uC,peak_source_intensity_n_sr_uC
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,15,16,1270.0,4.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,14,15,1160.0,5.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,13,14,1110.0,4.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,12,13,1090.0,9.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,11,12,1050.0,13.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,10,11,985.0,13.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,9,10,911.0,11.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,8,9,846.0,7.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,7,8,756.0,10.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,6,7,676.0,22.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,5,6,694.0,6.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,4,5,634.0,43.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,43,44,103.0,55.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,42,43,186.0,64.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,41,42,322.0,40.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,40,41,461.0,12.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,39,40,504.0,11.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,38,39,415.0,24.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,37,38,274.0,29.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,36,37,173.0,22.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,35,36,130.0,10.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,34,35,119.0,11.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,33,34,117.0,10.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,32,33,116.0,9.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,31,32,114.0,8.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,30,31,113.0,8.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,29,30,111.0,9.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,28,29,108.0,11.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,27,28,105.0,13.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,26,27,102.0,16.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,25,26,99.2,18.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,24,25,97.2,19.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,23,24,95.7,17.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,22,23,94.5,14.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,21,22,93.4,8.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,20,21,92.0,4.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,19,20,90.3,6.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,18,19,88.0,9.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,17,18,84.9,9.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,16,17,81.3,7.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,15,16,77.5,5.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,14,15,74.2,4.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,13,14,71.6,5.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,12,13,69.6,8.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,11,12,67.9,9.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,10,11,66.3,10.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,9,10,65.0,8.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,8,9,63.5,4.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,7,8,59.1,14.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,20,6,7,48.5,38.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,43,44,12.4,20.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,42,43,23.3,21.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,41,42,32.0,17.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,40,41,34.6,8.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,39,40,32.6,9.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,38,39,28.5,17.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,37,38,23.2,17.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,36,37,18.3,10.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,35,36,15.5,6.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,34,35,14.6,7.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,33,34,14.5,6.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,32,33,14.5,6.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,31,32,14.4,6.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,30,31,14.2,6.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,29,30,13.9,6.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,28,29,13.7,7.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,27,28,13.4,9.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,26,27,13.2,10.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,25,26,13.1,11.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,24,25,13.0,11.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,23,24,13.0,10.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,22,23,13.0,8.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,21,22,13.1,6.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,20,21,13.1,4.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,19,20,13.0,5.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,18,19,12.9,6.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,17,18,12.5,5.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,16,17,12.1,5.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,15,16,11.7,4.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,14,15,11.3,4.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,13,14,11.1,4.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,12,13,11.0,5.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,11,12,11.0,6.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,10,11,11.0,6.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,9,10,11.1,5.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,8,9,11.3,4.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,7,8,11.1,7.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,40,6,7,9.77,15.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,43,44,929.0,10.9,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,42,43,1610.0,6.5,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,41,42,2220.0,4.6,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,40,41,2430.0,4.7,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,39,40,2110.0,5.2,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,38,39,1450.0,5.7,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,37,38,794.0,5.5,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,36,37,371.0,5.3,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,35,36,191.0,11.8,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,34,35,152.0,14.6,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,50,0,33,34,164.0,12.0,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
